2019-09-10 01:13:07.164286|INFO    |VirtualServerBase|1  |client disconnected 'Vzla'(id:6) reason 'reasonmsg=Just another typical disconnection message.'
2019-09-10 01:16:37.169161|INFO    |VirtualServerBase|1  |client connected 'hola'(id:23) using a myTeamSpeak ID from 190.196.117.11:53215
2019-09-10 01:28:49.996700|INFO    |VirtualServerBase|1  |client disconnected 'AlfaBlitz_-'(id:28) reason 'reasonmsg=saliendo'
2019-09-10 01:28:52.225772|INFO    |VirtualServerBase|1  |client disconnected 'hola'(id:23) reason 'reasonmsg=saliendo'
2019-09-10 01:35:33.839485|INFO    |VirtualServerBase|1  |client disconnected 'lil Carlos'(id:8) reason 'reasonmsg=me fui con tu mamà'
2019-09-10 01:49:05.591883|INFO    |VirtualServerBase|1  |client connected 'hola'(id:23) using a myTeamSpeak ID from 190.196.117.11:61315
2019-09-10 01:49:22.804977|INFO    |VirtualServerBase|1  |client disconnected 'hola'(id:23) reason 'reasonmsg=saliendo'
2019-09-10 02:43:16.084787|INFO    |VirtualServerBase|1  |client disconnected 'Black'(id:14) reason 'reasonmsg=saliendo'
2019-09-10 03:00:10.419624|INFO    |VirtualServerBase|1  |client connected 'Vzla'(id:6) using a myTeamSpeak ID from 186.88.159.67:63909
2019-09-10 03:00:28.791967|INFO    |VirtualServerBase|1  |client disconnected 'Vzla'(id:6) reason 'reasonmsg=Just another typical disconnection message.'
2019-09-10 05:14:21.991115|INFO    |VirtualServerBase|1  |client connected 'lil Carlos'(id:8) from 200.66.49.168:43434
2019-09-10 05:14:36.108240|INFO    |VirtualServerBase|1  |client disconnected 'lil Carlos'(id:8) reason 'reasonmsg=me fui con tu mamà'
2019-09-10 19:39:45.643279|INFO    |VirtualServerBase|1  |client connected 'lil Carlos'(id:8) from 200.66.49.168:36146
2019-09-10 20:02:34.753415|INFO    |VirtualServerBase|1  |client disconnected 'lil Carlos'(id:8) reason 'reasonmsg=me fui con tu mamà'
2019-09-10 20:26:04.291364|INFO    |VirtualServerBase|1  |client connected 'hola'(id:23) using a myTeamSpeak ID from 190.196.117.11:55812
2019-09-10 20:35:19.766509|INFO    |VirtualServerBase|1  |client connected 'elgordopablo'(id:27) from 179.26.155.255:59154
2019-09-10 20:35:24.243418|INFO    |VirtualServerBase|1  |client disconnected 'elgordopablo'(id:27) reason 'reasonmsg=saliendo'
2019-09-10 20:46:17.583628|INFO    |VirtualServerBase|1  |client connected 'lil Carlos'(id:8) from 200.66.49.168:36146
2019-09-10 20:53:22.452192|INFO    |VirtualServer |1  |client (id:8) was added to servergroup 'Usuario del mejor server de MC'(id:22) by client 'hola'(id:23)
2019-09-10 21:00:49.836458|INFO    |VirtualServer |1  |client (id:8) was removed from servergroup 'Usuario del mejor server de MC'(id:22) by client 'lil Carlos'(id:8)
2019-09-10 21:01:44.712920|INFO    |VirtualServerBase|1  |client connected 'Black'(id:14) from 186.147.180.165:65023
2019-09-10 21:47:55.469235|INFO    |VirtualServerBase|1  |client connected 'TeamSpeakUser'(id:29) from 190.215.30.24:59730
2019-09-10 21:52:56.874854|INFO    |VirtualServerBase|1  |client disconnected 'lil Carlos'(id:8) reason 'reasonmsg=me fui con tu mamà'
2019-09-10 21:57:52.703217|INFO    |VirtualServerBase|1  |client disconnected 'Black'(id:14) reason 'reasonmsg=saliendo'
2019-09-10 22:01:23.427133|INFO    |VirtualServerBase|1  |client connected '---'(id:10) from 186.84.20.206:12468
2019-09-10 22:01:34.909077|INFO    |VirtualServerBase|1  |client disconnected '---'(id:10) reason 'reasonmsg=saliendo'
2019-09-10 22:01:48.989554|INFO    |VirtualServerBase|1  |client disconnected 'hola'(id:23) reason 'reasonmsg=saliendo'
2019-09-10 22:03:50.622199|INFO    |VirtualServerBase|1  |client connected 'Vzla'(id:6) using a myTeamSpeak ID from 186.88.159.67:58726
2019-09-10 22:04:42.360112|INFO    |VirtualServerBase|1  |client disconnected 'Vzla'(id:6) reason 'reasonmsg=Just another typical disconnection message.'
2019-09-10 22:19:58.500894|INFO    |VirtualServerBase|1  |client disconnected 'TeamSpeakUser'(id:29) reason 'reasonmsg=saliendo'
2019-09-10 22:27:22.871944|INFO    |VirtualServerBase|1  |client connected 'hola'(id:23) using a myTeamSpeak ID from 190.196.117.11:60245
2019-09-10 22:39:31.637806|INFO    |VirtualServerBase|1  |client connected 'TuGfa4x4'(id:9) from 201.102.9.116:65156
2019-09-10 22:39:38.417353|INFO    |VirtualServerBase|1  |client disconnected 'TuGfa4x4'(id:9) reason 'reasonmsg=Me llevo a tu hermana'
2019-09-10 23:01:00.048040|INFO    |VirtualServerBase|1  |client connected 'TeamSpeakUser'(id:29) from 190.215.30.24:55735
2019-09-10 23:01:04.265665|INFO    |VirtualServerBase|1  |client disconnected 'TeamSpeakUser'(id:29) reason 'reasonmsg=saliendo'
2019-09-10 23:11:08.390935|INFO    |VirtualServerBase|1  |client connected 'lil Carlos'(id:8) from 200.66.49.168:36154
2019-09-10 23:22:50.910950|INFO    |VirtualServerBase|1  |client connected 'TeamSpeakUser'(id:29) from 190.215.30.24:54001
2019-09-10 23:22:54.177463|INFO    |VirtualServerBase|1  |client disconnected 'TeamSpeakUser'(id:29) reason 'reasonmsg=saliendo'
2019-09-10 23:37:22.028118|INFO    |VirtualServerBase|1  |client connected '---'(id:10) from 186.84.20.206:12471
2019-09-10 23:40:06.538927|INFO    |VirtualServer |1  |complaint added for client 'lil Carlos'(id:8) reason 'q pasa puta' by client 'hola'(id:23)
2019-09-10 23:51:06.610109|INFO    |PktHandler    |1  |Cleaning up connection because of 4 resends of COMMAND packet
2019-09-10 23:51:06.610375|INFO    |PktHandler    |1  |Dropping client 4 because of resend timeout
2019-09-10 23:51:06.610461|INFO    |VirtualServerBase|1  |client disconnected '---'(id:10) reason 'reasonmsg=connection lost'
2019-09-11 00:03:27.382781|INFO    |VirtualServerBase|1  |client connected '---'(id:10) from 186.84.20.206:13123
2019-09-11 00:03:35.762238|INFO    |VirtualServerBase|1  |client disconnected '---'(id:10) reason 'reasonmsg=saliendo'
2019-09-11 00:06:02.531237|INFO    |VirtualServerBase|1  |client connected 'Black'(id:14) from 186.147.180.165:60801
2019-09-11 00:11:59.916912|INFO    |VirtualServerBase|1  |client disconnected 'Black'(id:14) reason 'reasonmsg=saliendo'
2019-09-11 00:38:20.260331|INFO    |VirtualServerBase|1  |client disconnected 'lil Carlos'(id:8) reason 'reasonmsg=me fui con tu mamà'
2019-09-11 00:39:12.649992|INFO    |VirtualServerBase|1  |client disconnected 'hola'(id:23) reason 'reasonmsg=saliendo'
2019-09-11 00:39:35.973209|INFO    |VirtualServerBase|1  |client connected 'lil Carlos'(id:8) from 200.66.49.168:36145
2019-09-11 00:39:58.629189|INFO    |VirtualServerBase|1  |client disconnected 'lil Carlos'(id:8) reason 'reasonmsg=me fui con tu mamà'
2019-09-11 00:49:25.421542|INFO    |VirtualServerBase|1  |client connected '---'(id:10) from 201.221.167.49:50020
2019-09-11 00:49:58.449871|INFO    |VirtualServerBase|1  |client disconnected '---'(id:10) reason 'reasonmsg=saliendo'
2019-09-11 00:50:51.749707|INFO    |VirtualServerBase|1  |client connected 'hola'(id:23) using a myTeamSpeak ID from 190.196.117.11:50681
2019-09-11 00:59:55.372662|INFO    |VirtualServerBase|1  |client disconnected 'hola'(id:23) reason 'reasonmsg=saliendo'
2019-09-11 01:47:59.167412|INFO    |VirtualServerBase|1  |client connected 'elgordopablo'(id:27) from 179.26.54.19:51832
2019-09-11 01:49:02.493133|INFO    |VirtualServerBase|1  |channel 'Sala AFK del gordo pablo'(id:12) edited by 'elgordopablo'(id:27)
2019-09-11 01:49:19.362034|INFO    |VirtualServerBase|1  |client disconnected 'elgordopablo'(id:27) reason 'reasonmsg=saliendo'
2019-09-11 01:57:28.124288|INFO    |VirtualServerBase|1  |client connected 'lil Carlos'(id:8) from 200.66.49.168:24675
2019-09-11 01:57:35.340438|INFO    |VirtualServerBase|1  |client disconnected 'lil Carlos'(id:8) reason 'reasonmsg=me fui con tu mamà'
2019-09-11 02:09:46.645969|INFO    |VirtualServerBase|1  |client connected 'Vzla'(id:6) using a myTeamSpeak ID from 186.88.159.67:64312
2019-09-11 02:12:23.890692|INFO    |VirtualServerBase|1  |client disconnected 'Vzla'(id:6) reason 'reasonmsg=Just another typical disconnection message.'
2019-09-11 02:42:28.249840|INFO    |VirtualServerBase|1  |client connected 'Vzla'(id:6) using a myTeamSpeak ID from 186.88.159.67:53816
2019-09-11 03:41:34.362872|INFO    |VirtualServerBase|1  |client connected 'ConnexD'(id:2) using a myTeamSpeak ID from 187.253.121.187:54631
2019-09-11 03:41:37.647569|INFO    |VirtualServerBase|1  |client disconnected 'ConnexD'(id:2) reason 'reasonmsg=saliendo'
2019-09-11 05:44:59.095184|INFO    |VirtualServerBase|1  |client disconnected 'Vzla'(id:6) reason 'reasonmsg=Just another typical disconnection message.'
2019-09-11 11:42:58.318578|INFO    |VirtualServerBase|1  |client connected '---'(id:10) from 186.84.20.206:3902
