2019-08-16 21:37:57.013001|INFO    |VirtualServer |1  |listening on 0.0.0.0:9987, [::]:9987
2019-08-16 21:43:36.413306|INFO    |VirtualServerBase|1  |client connected 'ConnexD'(id:2) using a myTeamSpeak ID from 187.253.123.123:28345
2019-08-16 21:45:43.924406|INFO    |VirtualServerBase|1  |client disconnected 'ConnexD'(id:2) reason 'reasonmsg=saliendo'
2019-08-16 21:45:44.607171|INFO    |VirtualServerBase|1  |client connected 'ConnexD'(id:2) using a myTeamSpeak ID from 187.253.123.123:22814
2019-08-16 21:46:12.221385|INFO    |VirtualServerBase|1  |client connected 'lil kbro'(id:11) from 200.83.219.62:54613
2019-08-16 21:46:16.647761|INFO    |VirtualServerBase|1  |client connected 'Janna'(id:4) from 179.25.49.60:59249
2019-08-16 21:46:20.676644|INFO    |VirtualServerBase|1  |client connected 'lil guerrillero'(id:6) using a myTeamSpeak ID from 190.39.6.238:57183
2019-08-16 21:48:04.975248|INFO    |VirtualServer |1  |servergroup 'Panita'(id:12) was copied by 'lil guerrillero'(id:6) to 'Usuario del mejor server de MC'(id:22)
2019-08-16 21:48:08.064060|INFO    |VirtualServer |1  |permission 'i_icon_id'(id:143) was deleted by 'lil guerrillero'(id:6) from servergroup 'Usuario del mejor server de MC'(id:22)
2019-08-16 21:48:25.339508|INFO    |VirtualServerBase|1  |file upload to (id:0), '/icon_4018690437' by client 'lil guerrillero'(id:6)
2019-08-16 21:48:26.942343|INFO    |VirtualServer |1  |permission 'i_icon_id'(id:143) with values (value:-276276859, negated:0, skipchannel:0) was added by 'lil guerrillero'(id:6) to servergroup 'Usuario del mejor server de MC'(id:22)
2019-08-16 21:48:36.068944|INFO    |VirtualServer |1  |client (id:6) was added to servergroup 'Usuario del mejor server de MC'(id:22) by client 'lil guerrillero'(id:6)
2019-08-16 21:48:36.274636|INFO    |VirtualServerBase|1  |file download from (id:0), '/icon_4018690437' by client 'Janna'(id:4)
2019-08-16 21:48:36.290815|INFO    |VirtualServerBase|1  |file download from (id:0), '/icon_4018690437' by client 'lil kbro'(id:11)
2019-08-16 21:48:56.588372|INFO    |VirtualServerBase|1  |file download from (id:0), '/icon_4018690437' by client 'ConnexD'(id:2)
2019-08-16 21:49:10.448700|INFO    |VirtualServerBase|1  |client disconnected 'Janna'(id:4) reason 'reasonmsg=saliendo'
2019-08-16 21:49:14.140741|INFO    |VirtualServerBase|1  |client connected 'Janna'(id:4) from 179.25.49.60:59249
2019-08-16 22:11:35.231726|INFO    |VirtualServerBase|1  |client connected 'lil Carlos'(id:8) from 200.66.57.37:48356
2019-08-16 22:11:38.550081|INFO    |VirtualServerBase|1  |file download from (id:0), '/icon_4018690437' by client 'lil Carlos'(id:8)
2019-08-16 22:25:53.099481|INFO    |VirtualServerBase|1  |client connected '---'(id:10) from 201.221.167.49:56389
2019-08-16 22:25:53.965544|INFO    |VirtualServerBase|1  |file download from (id:0), '/icon_4018690437' by client '---'(id:10)
2019-08-16 22:37:21.338322|INFO    |VirtualServerBase|1  |client disconnected '---'(id:10) reason 'reasonmsg=saliendo'
2019-08-16 22:48:37.671112|INFO    |VirtualServerBase|1  |client connected '▶ lil r ◀'(id:7) from 190.84.217.156:63650
2019-08-16 22:48:38.621080|INFO    |VirtualServerBase|1  |file download from (id:0), '/icon_4018690437' by client '▶ lil r ◀'(id:7)
2019-08-16 23:18:23.088263|INFO    |VirtualServerBase|1  |client connected 'lil dios'(id:12) from 190.196.112.198:54187
2019-08-16 23:18:24.263273|INFO    |VirtualServerBase|1  |file download from (id:0), '/icon_4018690437' by client 'lil dios'(id:12)
2019-08-16 23:22:12.674306|INFO    |VirtualServer |1  |client (id:12) was added to servergroup 'Usuario del mejor server de MC'(id:22) by client 'lil guerrillero'(id:6)
2019-08-16 23:22:20.838244|INFO    |VirtualServer |1  |client (id:4) was added to servergroup 'Usuario del mejor server de MC'(id:22) by client 'lil guerrillero'(id:6)
2019-08-16 23:22:29.285449|INFO    |VirtualServer |1  |client (id:4) was added to servergroup 'Rango Vrg'(id:6) by client 'lil guerrillero'(id:6)
2019-08-16 23:22:34.821623|INFO    |VirtualServer |1  |client (id:12) was added to servergroup 'Rango Vrg'(id:6) by client 'lil guerrillero'(id:6)
2019-08-16 23:41:13.876393|INFO    |VirtualServerBase|1  |client connected '---'(id:10) from 186.84.20.206:12313
2019-08-16 23:42:34.842487|INFO    |VirtualServerBase|1  |server was edited by 'lil guerrillero'(id:6)
