2019-08-19 03:27:23.893607|INFO    |VirtualServer |1  |listening on 0.0.0.0:9987, [::]:9987
2019-08-19 03:27:25.634761|INFO    |VirtualServerBase|1  |client connected 'lil kbro'(id:11) from 200.83.219.62:55415
2019-08-19 03:27:25.763617|INFO    |VirtualServerBase|1  |client connected 'ConnexD'(id:2) using a myTeamSpeak ID from 187.253.123.123:27947
2019-08-19 03:27:29.202047|INFO    |VirtualServerBase|1  |client connected 'bolivian'(id:4) from 179.24.10.203:53171
2019-08-19 03:27:29.726449|INFO    |VirtualServerBase|1  |client disconnected 'lil kbro'(id:11) reason 'reasonmsg=saliendo'
2019-08-19 03:28:08.370473|INFO    |VirtualServerBase|1  |client disconnected 'bolivian'(id:4) reason 'reasonmsg=saliendo'
2019-08-19 03:31:24.711764|INFO    |VirtualServerBase|1  |client connected 'Black'(id:14) from 186.147.180.165:65034
2019-08-19 03:40:07.222291|INFO    |VirtualServerBase|1  |client connected 'bolivian'(id:4) from 179.24.10.203:65427
2019-08-19 03:41:20.590493|INFO    |VirtualServerBase|1  |file upload to (id:10), '/forge-1.12.2-14.23.5.2838-installer.jar' by client 'ConnexD'(id:2)
2019-08-19 03:42:02.043119|INFO    |VirtualServerBase|1  |file download from (id:10), '/forge-1.12.2-14.23.5.2838-installer.jar' by client 'bolivian'(id:4)
2019-08-19 04:10:34.591020|INFO    |VirtualServerBase|1  |client disconnected 'ConnexD'(id:2) reason 'reasonmsg=saliendo'
2019-08-19 04:30:17.534058|INFO    |VirtualServerBase|1  |client disconnected 'bolivian'(id:4) reason 'reasonmsg=saliendo'
2019-08-19 05:06:29.257116|INFO    |VirtualServerBase|1  |client disconnected 'Black'(id:14) reason 'reasonmsg=saliendo'
2019-08-19 11:56:51.189758|INFO    |VirtualServerBase|1  |client connected 'lil guerrillero'(id:6) using a myTeamSpeak ID from 190.74.229.242:50086
2019-08-19 15:23:52.104725|INFO    |VirtualServerBase|1  |client connected '---'(id:10) from 186.84.20.206:11394
2019-08-19 15:23:58.492091|INFO    |VirtualServerBase|1  |client disconnected '---'(id:10) reason 'reasonmsg=saliendo'
2019-08-19 16:45:18.883910|INFO    |VirtualServerBase|1  |client connected 'lil Luchaina'(id:5) from 181.170.139.96:65198
2019-08-19 16:46:43.612270|INFO    |VirtualServerBase|1  |client connected '---'(id:10) from 186.84.20.206:8989
2019-08-19 16:46:57.924397|INFO    |VirtualServerBase|1  |client disconnected '---'(id:10) reason 'reasonmsg=saliendo'
2019-08-19 16:49:00.896405|INFO    |VirtualServerBase|1  |client connected 'Black'(id:14) from 186.147.180.165:50018
2019-08-19 17:03:57.325828|INFO    |VirtualServerBase|1  |client connected '---'(id:10) from 186.84.20.206:9301
2019-08-19 17:05:31.240796|INFO    |VirtualServerBase|1  |file download from (id:10), '/forge-1.12.2-14.23.5.2838-installer.jar' by client '---'(id:10)
2019-08-19 17:06:41.400615|INFO    |VirtualServerBase|1  |client disconnected '---'(id:10) reason 'reasonmsg=saliendo'
2019-08-19 17:31:10.384236|INFO    |PktHandler    |1  |Dropping client 3 because of ping timeout 19 0 0
2019-08-19 17:31:10.384431|INFO    |VirtualServerBase|1  |client disconnected 'lil Luchaina'(id:5) reason 'reasonmsg=connection lost'
2019-08-19 17:44:09.261985|INFO    |VirtualServerBase|1  |client connected 'lil Luchaina'(id:5) from 181.170.139.96:54451
2019-08-19 17:45:13.728254|INFO    |VirtualServerBase|1  |client connected 'lil Luchaina1'(id:5) from 181.170.139.96:54451
2019-08-19 17:45:16.290973|INFO    |PktHandler    |1  |Dropping client 2 because of ping timeout 19 0 0
2019-08-19 17:45:16.291100|INFO    |VirtualServerBase|1  |client disconnected 'lil Luchaina'(id:5) reason 'reasonmsg=connection lost'
2019-08-19 17:46:23.087558|INFO    |VirtualServer |1  |complaint added for client 'Black'(id:14) reason 'no tiene paciencia :(' by client 'lil Luchaina'(id:5)
2019-08-19 17:54:37.341874|INFO    |VirtualServerBase|1  |client connected '---'(id:10) from 186.84.20.206:10884
2019-08-19 18:25:17.248796|INFO    |VirtualServerBase|1  |client connected '▶ lil r ◀'(id:7) from 190.84.217.156:49825
2019-08-19 18:30:15.279967|INFO    |VirtualServerBase|1  |client 'Lil Vzla'(id:6) changed myTeamSpeak ID
2019-08-19 18:50:30.382356|INFO    |PktHandler    |1  |Dropping client 6 because of ping timeout 19 0 0
2019-08-19 18:50:30.382506|INFO    |VirtualServerBase|1  |client disconnected '▶ lil r ◀'(id:7) reason 'reasonmsg=connection lost'
2019-08-19 18:51:25.229827|INFO    |VirtualServerBase|1  |client disconnected '---'(id:10) reason 'reasonmsg=saliendo'
2019-08-19 18:55:51.722011|INFO    |VirtualServerBase|1  |client connected '▶ lil r ◀'(id:7) from 190.84.217.156:51783
2019-08-19 19:10:26.562686|INFO    |VirtualServerBase|1  |client disconnected '▶ lil r ◀'(id:7) reason 'reasonmsg=saliendo'
2019-08-19 19:10:38.235333|INFO    |VirtualServerBase|1  |client connected '▶ lil r ◀'(id:7) from 190.84.217.156:51783
2019-08-19 19:10:51.871733|INFO    |VirtualServerBase|1  |client connected 'lil kbro'(id:11) from 200.83.219.62:62484
2019-08-19 19:11:02.722188|INFO    |PktHandler    |1  |Dropping client 3 because of ping timeout 19 0 0
2019-08-19 19:11:02.722305|INFO    |VirtualServerBase|1  |client disconnected 'lil Luchaina'(id:5) reason 'reasonmsg=connection lost'
2019-08-19 19:13:05.500113|INFO    |VirtualServerBase|1  |client connected 'lil Luchaina'(id:5) from 181.170.139.96:54451
2019-08-19 19:13:10.042849|INFO    |VirtualServerBase|1  |client connected 'TuGfa4x4'(id:9) from 189.144.115.51:53574
2019-08-19 19:16:04.673053|INFO    |VirtualServerBase|1  |channel 'la luchaina, el ozo y el hornitorrinko'(id:10) edited by 'lil Luchaina'(id:5)
2019-08-19 19:25:38.626186|INFO    |PktHandler    |1  |Dropping client 8 because of ping timeout 19 0 0
2019-08-19 19:25:38.626338|INFO    |VirtualServerBase|1  |client disconnected '▶ lil r ◀'(id:7) reason 'reasonmsg=connection lost'
2019-08-19 19:26:40.685541|INFO    |PktHandler    |1  |Dropping client 10 because of ping timeout 19 0 0
2019-08-19 19:26:40.685705|INFO    |VirtualServerBase|1  |client disconnected 'lil Luchaina'(id:5) reason 'reasonmsg=connection lost'
2019-08-19 19:27:41.087423|INFO    |VirtualServerBase|1  |client connected 'lil Luchaina'(id:5) from 181.170.139.96:54451
2019-08-19 19:33:35.393046|INFO    |VirtualServerBase|1  |client connected '▶ lil r ◀'(id:7) from 190.84.217.156:58189
2019-08-19 19:43:15.053240|INFO    |VirtualServerBase|1  |channel 'Sala AFK del gordo pablo'(id:12) edited by 'lil Luchaina'(id:5)
2019-08-19 19:54:21.077448|INFO    |VirtualServerBase|1  |client disconnected 'lil Luchaina'(id:5) reason 'reasonmsg=saliendo'
2019-08-19 20:05:31.644531|INFO    |VirtualServerBase|1  |client connected '---'(id:10) from 186.84.20.206:3150
2019-08-19 20:18:45.243746|INFO    |VirtualServerBase|1  |client connected 'lil Luchaina'(id:5) from 181.170.139.96:51839
2019-08-19 20:29:06.730461|INFO    |VirtualServerBase|1  |client disconnected 'lil Luchaina'(id:5) reason 'reasonmsg=saliendo'
2019-08-19 20:30:29.619118|INFO    |VirtualServerBase|1  |client connected 'lil Carlos'(id:8) from 200.66.57.237:27003
2019-08-19 20:35:48.074297|INFO    |PktHandler    |1  |Dropping client 6 because of ping timeout 19 0 0
2019-08-19 20:35:48.074734|INFO    |VirtualServerBase|1  |client disconnected 'lil Carlos'(id:8) reason 'reasonmsg=connection lost'
2019-08-19 20:42:56.819152|INFO    |VirtualServerBase|1  |client disconnected 'TuGfa4x4'(id:9) reason 'reasonmsg=Me llevo a tu hermana'
2019-08-19 21:15:37.352287|INFO    |VirtualServerBase|1  |client connected 'lil dios'(id:12) from 190.196.112.198:60408
2019-08-19 21:22:14.039640|INFO    |VirtualServerBase|1  |client disconnected '---'(id:10) reason 'reasonmsg=saliendo'
2019-08-19 21:50:15.826723|INFO    |PktHandler    |1  |Dropping client 2 because of ping timeout 19 0 0
2019-08-19 21:50:15.826906|INFO    |VirtualServerBase|1  |client disconnected '▶ lil r ◀'(id:7) reason 'reasonmsg=connection lost'
