2019-07-09 16:38:39.965245|INFO    |ServerLibPriv |   |TeamSpeak 3 Server 3.9.1 (2019-07-02 13:17:23)
2019-07-09 16:38:39.965949|INFO    |ServerLibPriv |   |SystemInformation: Linux 4.15.0-52-generic #56-Ubuntu SMP Tue Jun 4 22:49:08 UTC 2019 x86_64 Binary: 64bit
2019-07-09 16:38:39.966288|INFO    |ServerLibPriv |   |Using hardware aes
2019-07-09 16:38:39.967601|INFO    |DatabaseQuery |   |dbPlugin name:    SQLite3 plugin, Version 3, (c)TeamSpeak Systems GmbH
2019-07-09 16:38:39.967914|INFO    |DatabaseQuery |   |dbPlugin version: 3.11.1
2019-07-09 16:38:39.968746|INFO    |DatabaseQuery |   |checking database integrity (may take a while)
2019-07-09 16:38:39.984213|INFO    |SQL           |   |db_CreateTables() tables created
2019-07-09 16:38:40.031736|WARNING |Accounting    |   |Unable to open licensekey.dat, falling back to limited functionality
2019-07-09 16:38:40.032611|INFO    |Accounting    |   |Licensing Information
2019-07-09 16:38:40.032839|INFO    |Accounting    |   |licensed to       : Anonymous
2019-07-09 16:38:40.033055|INFO    |Accounting    |   |type              : No License
2019-07-09 16:38:40.033244|INFO    |Accounting    |   |starting date     : Tue Jan  1 00:00:00 2019
2019-07-09 16:38:40.033425|INFO    |Accounting    |   |ending date       : Fri Jan 31 00:00:00 2020
2019-07-09 16:38:40.033618|INFO    |Accounting    |   |max virtualservers: 1
2019-07-09 16:38:40.033857|INFO    |Accounting    |   |max slots         : 32
2019-07-09 16:38:40.202283|INFO    |              |   |myTeamSpeak identifier revocation list was downloaded successfully - all related features are activated
2019-07-09 16:38:41.503595|INFO    |              |   |Puzzle precompute time: 1437
2019-07-09 16:38:41.505036|INFO    |FileManager   |   |listening on 0.0.0.0:30033, [::]:30033
2019-07-09 16:38:41.506097|INFO    |VirtualSvrMgr |   |executing monthly interval
2019-07-09 16:38:41.506440|INFO    |VirtualSvrMgr |   |reset virtualserver traffic statistics
2019-07-09 16:38:41.521768|INFO    |Query         |   |listening for query on 0.0.0.0:10011, [::]:10011
2019-07-09 16:38:41.522374|INFO    |Query         |   |listening for query ssh on 0.0.0.0:10022, [::]:10022
2019-07-09 16:38:41.522581|INFO    |Query         |   |creating QUERY_SSH_RSA_HOST_KEY file: ssh_host_rsa_key
2019-07-09 16:38:42.753747|INFO    |CIDRManager   |   |updated query_ip_whitelist ips: 127.0.0.1/32, ::1/128, 
2019-07-09 17:34:10.766850|INFO    |ServerMain    |   |Received signal SIGTERM, shutting down.
2019-07-09 17:34:10.773197|INFO    |ServerMain    |   |Received signal SIGHUP, shutting down.
