2019-07-16 16:02:56.822789|INFO    |ServerLibPriv |   |TeamSpeak 3 Server 3.9.1 (2019-07-02 13:17:23)
2019-07-16 16:02:56.823438|INFO    |ServerLibPriv |   |SystemInformation: Linux 4.15.0-54-generic #58-Ubuntu SMP Mon Jun 24 10:55:24 UTC 2019 x86_64 Binary: 64bit
2019-07-16 16:02:56.823640|INFO    |ServerLibPriv |   |Using hardware aes
2019-07-16 16:02:56.830744|INFO    |DatabaseQuery |   |dbPlugin name:    SQLite3 plugin, Version 3, (c)TeamSpeak Systems GmbH
2019-07-16 16:02:56.830949|INFO    |DatabaseQuery |   |dbPlugin version: 3.11.1
2019-07-16 16:02:56.837628|INFO    |DatabaseQuery |   |checking database integrity (may take a while)
2019-07-16 16:02:56.876108|WARNING |Accounting    |   |Unable to open licensekey.dat, falling back to limited functionality
2019-07-16 16:02:56.880964|INFO    |Accounting    |   |Licensing Information
2019-07-16 16:02:56.881134|INFO    |Accounting    |   |licensed to       : Anonymous
2019-07-16 16:02:56.881274|INFO    |Accounting    |   |type              : No License
2019-07-16 16:02:56.881389|INFO    |Accounting    |   |starting date     : Tue Jan  1 00:00:00 2019
2019-07-16 16:02:56.881503|INFO    |Accounting    |   |ending date       : Fri Jan 31 00:00:00 2020
2019-07-16 16:02:56.881607|INFO    |Accounting    |   |max virtualservers: 1
2019-07-16 16:02:56.881708|INFO    |Accounting    |   |max slots         : 32
2019-07-16 16:02:56.988030|INFO    |              |   |myTeamSpeak identifier revocation list was downloaded successfully - all related features are activated
2019-07-16 16:02:58.782568|INFO    |              |   |Puzzle precompute time: 1846
2019-07-16 16:02:58.783956|INFO    |FileManager   |   |listening on 0.0.0.0:30033, [::]:30033
2019-07-16 16:02:58.806060|INFO    |Query         |   |listening for query on 0.0.0.0:10011, [::]:10011
2019-07-16 16:02:58.810015|INFO    |Query         |   |listening for query ssh on 0.0.0.0:10022, [::]:10022
2019-07-16 16:02:58.810608|INFO    |CIDRManager   |   |updated query_ip_whitelist ips: 127.0.0.1/32, ::1/128, 
2019-07-17 16:02:57.101471|INFO    |              |   |myTeamSpeak identifier revocation list was downloaded successfully - all related features are activated
2019-07-18 16:02:57.210862|INFO    |              |   |myTeamSpeak identifier revocation list was downloaded successfully - all related features are activated
2019-07-19 16:02:57.325176|INFO    |              |   |myTeamSpeak identifier revocation list was downloaded successfully - all related features are activated
2019-07-20 16:02:57.444579|INFO    |              |   |myTeamSpeak identifier revocation list was downloaded successfully - all related features are activated
2019-07-21 16:02:57.556745|INFO    |              |   |myTeamSpeak identifier revocation list was downloaded successfully - all related features are activated
2019-07-22 16:02:57.676603|INFO    |              |   |myTeamSpeak identifier revocation list was downloaded successfully - all related features are activated
