2019-08-19 03:27:22.965628|INFO    |ServerLibPriv |   |TeamSpeak 3 Server 3.9.1 (2019-07-02 13:17:23)
2019-08-19 03:27:22.966521|INFO    |ServerLibPriv |   |SystemInformation: Linux 4.15.0-58-generic #64-Ubuntu SMP Tue Aug 6 11:12:41 UTC 2019 x86_64 Binary: 64bit
2019-08-19 03:27:22.966720|INFO    |ServerLibPriv |   |Using hardware aes
2019-08-19 03:27:22.976155|INFO    |DatabaseQuery |   |dbPlugin name:    SQLite3 plugin, Version 3, (c)TeamSpeak Systems GmbH
2019-08-19 03:27:22.976431|INFO    |DatabaseQuery |   |dbPlugin version: 3.11.1
2019-08-19 03:27:22.986137|INFO    |DatabaseQuery |   |checking database integrity (may take a while)
2019-08-19 03:27:23.034611|WARNING |Accounting    |   |Unable to open licensekey.dat, falling back to limited functionality
2019-08-19 03:27:23.039998|INFO    |Accounting    |   |Licensing Information
2019-08-19 03:27:23.040305|INFO    |Accounting    |   |licensed to       : Anonymous
2019-08-19 03:27:23.040523|INFO    |Accounting    |   |type              : No License
2019-08-19 03:27:23.040737|INFO    |Accounting    |   |starting date     : Tue Jan  1 00:00:00 2019
2019-08-19 03:27:23.040952|INFO    |Accounting    |   |ending date       : Fri Jan 31 00:00:00 2020
2019-08-19 03:27:23.041154|INFO    |Accounting    |   |max virtualservers: 1
2019-08-19 03:27:23.041379|INFO    |Accounting    |   |max slots         : 32
2019-08-19 03:27:23.076439|INFO    |              |   |myTeamSpeak identifier revocation list was downloaded successfully - all related features are activated
2019-08-19 03:27:23.863671|INFO    |              |   |Puzzle precompute time: 778
2019-08-19 03:27:23.865013|INFO    |FileManager   |   |listening on 0.0.0.0:30033, [::]:30033
2019-08-19 03:27:23.894188|INFO    |Query         |   |listening for query on 0.0.0.0:10011, [::]:10011
2019-08-19 03:27:23.901276|INFO    |Query         |   |listening for query ssh on 0.0.0.0:10022, [::]:10022
2019-08-19 03:27:23.902227|INFO    |CIDRManager   |   |updated query_ip_whitelist ips: 127.0.0.1/32, ::1/128, 
2019-08-20 03:27:23.140846|INFO    |              |   |myTeamSpeak identifier revocation list was downloaded successfully - all related features are activated
2019-08-21 03:27:23.177941|INFO    |              |   |myTeamSpeak identifier revocation list was downloaded successfully - all related features are activated
2019-08-22 03:27:23.261020|INFO    |              |   |myTeamSpeak identifier revocation list was downloaded successfully - all related features are activated
2019-08-23 03:27:23.314200|INFO    |              |   |myTeamSpeak identifier revocation list was downloaded successfully - all related features are activated
2019-08-24 03:27:23.352253|INFO    |              |   |myTeamSpeak identifier revocation list was downloaded successfully - all related features are activated
2019-08-25 03:27:23.389385|INFO    |              |   |myTeamSpeak identifier revocation list was downloaded successfully - all related features are activated
2019-08-26 03:27:23.430959|INFO    |              |   |myTeamSpeak identifier revocation list was downloaded successfully - all related features are activated
2019-08-27 03:27:23.478458|INFO    |              |   |myTeamSpeak identifier revocation list was downloaded successfully - all related features are activated
2019-08-27 15:48:45.006060|INFO    |ServerMain    |   |Received signal SIGTERM, shutting down.
2019-08-27 15:48:45.032215|INFO    |ServerMain    |   |Received signal SIGHUP, shutting down.
2019-08-27 15:48:45.014545|INFO    |ServerMain    |   |Received signal SIGHUP, shutting down.
