2019-10-07 21:09:10.493948|INFO    |ServerLibPriv |   |TeamSpeak 3 Server 3.9.1 (2019-07-02 13:17:23)
2019-10-07 21:09:10.494680|INFO    |ServerLibPriv |   |SystemInformation: Linux 4.15.0-62-generic #69-Ubuntu SMP Wed Sep 4 20:55:53 UTC 2019 x86_64 Binary: 64bit
2019-10-07 21:09:10.494800|INFO    |ServerLibPriv |   |Using hardware aes
2019-10-07 21:09:10.520472|INFO    |DatabaseQuery |   |dbPlugin name:    SQLite3 plugin, Version 3, (c)TeamSpeak Systems GmbH
2019-10-07 21:09:10.520673|INFO    |DatabaseQuery |   |dbPlugin version: 3.11.1
2019-10-07 21:09:10.545817|INFO    |DatabaseQuery |   |checking database integrity (may take a while)
2019-10-07 21:09:10.674099|WARNING |Accounting    |   |Unable to open licensekey.dat, falling back to limited functionality
2019-10-07 21:09:10.691146|INFO    |Accounting    |   |Licensing Information
2019-10-07 21:09:10.691302|INFO    |Accounting    |   |licensed to       : Anonymous
2019-10-07 21:09:10.691369|INFO    |Accounting    |   |type              : No License
2019-10-07 21:09:10.691441|INFO    |Accounting    |   |starting date     : Tue Jan  1 00:00:00 2019
2019-10-07 21:09:10.691514|INFO    |Accounting    |   |ending date       : Fri Jan 31 00:00:00 2020
2019-10-07 21:09:10.691579|INFO    |Accounting    |   |max virtualservers: 1
2019-10-07 21:09:10.691644|INFO    |Accounting    |   |max slots         : 32
2019-10-07 21:09:10.723011|INFO    |              |   |myTeamSpeak identifier revocation list was downloaded successfully - all related features are activated
2019-10-07 21:09:11.677806|INFO    |              |   |Puzzle precompute time: 911
2019-10-07 21:09:11.680226|INFO    |FileManager   |   |listening on 0.0.0.0:30033, [::]:30033
2019-10-07 21:09:11.723458|INFO    |Query         |   |listening for query on 0.0.0.0:10011, [::]:10011
2019-10-07 21:09:11.734668|INFO    |Query         |   |listening for query ssh on 0.0.0.0:10022, [::]:10022
2019-10-07 21:09:11.735965|INFO    |CIDRManager   |   |updated query_ip_whitelist ips: 127.0.0.1/32, ::1/128, 
2019-10-08 21:09:10.770919|INFO    |              |   |myTeamSpeak identifier revocation list was downloaded successfully - all related features are activated
2019-10-09 21:09:10.827180|INFO    |              |   |myTeamSpeak identifier revocation list was downloaded successfully - all related features are activated
2019-10-10 21:09:10.868413|INFO    |              |   |myTeamSpeak identifier revocation list was downloaded successfully - all related features are activated
2019-10-11 21:09:10.907956|INFO    |              |   |myTeamSpeak identifier revocation list was downloaded successfully - all related features are activated
2019-10-12 21:09:10.948768|INFO    |              |   |myTeamSpeak identifier revocation list was downloaded successfully - all related features are activated
2019-10-13 21:09:11.004592|INFO    |              |   |myTeamSpeak identifier revocation list was downloaded successfully - all related features are activated
2019-10-14 21:09:11.059759|INFO    |              |   |myTeamSpeak identifier revocation list was downloaded successfully - all related features are activated
