2019-08-16 21:37:56.157098|INFO    |ServerLibPriv |   |TeamSpeak 3 Server 3.9.1 (2019-07-02 13:17:23)
2019-08-16 21:37:56.157322|INFO    |ServerLibPriv |   |SystemInformation: Linux 4.15.0-58-generic #64-Ubuntu SMP Tue Aug 6 11:12:41 UTC 2019 x86_64 Binary: 64bit
2019-08-16 21:37:56.157363|INFO    |ServerLibPriv |   |Using hardware aes
2019-08-16 21:37:56.158465|INFO    |DatabaseQuery |   |dbPlugin name:    SQLite3 plugin, Version 3, (c)TeamSpeak Systems GmbH
2019-08-16 21:37:56.158535|INFO    |DatabaseQuery |   |dbPlugin version: 3.11.1
2019-08-16 21:37:56.159042|INFO    |DatabaseQuery |   |checking database integrity (may take a while)
2019-08-16 21:37:56.195509|WARNING |Accounting    |   |Unable to open licensekey.dat, falling back to limited functionality
2019-08-16 21:37:56.196131|INFO    |Accounting    |   |Licensing Information
2019-08-16 21:37:56.196180|INFO    |Accounting    |   |licensed to       : Anonymous
2019-08-16 21:37:56.196198|INFO    |Accounting    |   |type              : No License
2019-08-16 21:37:56.196220|INFO    |Accounting    |   |starting date     : Tue Jan  1 00:00:00 2019
2019-08-16 21:37:56.196238|INFO    |Accounting    |   |ending date       : Fri Jan 31 00:00:00 2020
2019-08-16 21:37:56.196253|INFO    |Accounting    |   |max virtualservers: 1
2019-08-16 21:37:56.196267|INFO    |Accounting    |   |max slots         : 32
2019-08-16 21:37:56.228816|INFO    |              |   |myTeamSpeak identifier revocation list was downloaded successfully - all related features are activated
2019-08-16 21:37:56.995688|INFO    |              |   |Puzzle precompute time: 768
2019-08-16 21:37:56.996416|INFO    |FileManager   |   |listening on 0.0.0.0:30033, [::]:30033
2019-08-16 21:37:57.013389|INFO    |Query         |   |listening for query on 0.0.0.0:10011, [::]:10011
2019-08-16 21:37:57.013799|INFO    |Query         |   |listening for query ssh on 0.0.0.0:10022, [::]:10022
2019-08-16 21:37:57.014046|INFO    |CIDRManager   |   |updated query_ip_whitelist ips: 127.0.0.1/32, ::1/128, 
2019-08-17 21:37:56.273932|INFO    |              |   |myTeamSpeak identifier revocation list was downloaded successfully - all related features are activated
2019-08-18 21:37:56.309676|INFO    |              |   |myTeamSpeak identifier revocation list was downloaded successfully - all related features are activated
2019-08-19 03:26:14.872694|INFO    |ServerMain    |   |Received signal SIGTERM, shutting down.
2019-08-19 03:26:14.873841|INFO    |ServerMain    |   |Received signal SIGHUP, shutting down.
